Date,Open,High,Low,Close,Adj Close,Volume
2023/8/23,546,552,544,552,548.9390259,20636332
2023/8/24,563,564,558,564,560.8724976,23280827
2023/8/25,549,551,546,546,542.97229,24144537
2023/8/28,547,553,547,549,545.9556274,8991985
2023/8/29,551,553,546,552,548.9390259,10516678
2023/8/30,558,560,554,555,551.9223633,15117416
2023/8/31,553,556,548,549,545.9556274,40431378
2023/9/1,543,553,543,548,544.9611816,13669766
2023/9/4,549,557,549,557,553.9113159,9531157
2023/9/5,553,555,550,552,548.9390259,12220686
2023/9/6,556,556,550,550,546.9501343,14067008
2023/9/7,546,548,542,542,538.9944458,20717005
2023/9/8,535,540,535,539,536.0111084,15283568
2023/9/11,539,540,536,536,533.027771,14631968
2023/9/12,536,545,536,544,540.9833984,16028336
2023/9/13,545,548,541,541,538,16191392
2023/9/14,544,550,543,550,550,17144287
2023/9/15,549,558,547,558,558,42517441
2023/9/18,548,549,540,540,540,36684692
2023/9/19,539,543,538,538,538,18901683
2023/9/20,536,538,535,535,535,24635567
2023/9/21,530,531,526,527,527,32012694
2023/9/22,523,525,522,522,522,29049309
2023/9/25,522,529,522,525,525,17116402
2023/9/26,521,524,519,519,519,26392692
2023/9/27,517,523,516,522,522,16846401
2023/9/28,523,525,520,523,523,19733331
2023/10/2,530,534,528,533,533,25427911
2023/10/3,528,533,528,529,529,14490129
2023/10/4,521,523,519,520,520,28358964
2023/10/5,523,529,523,528,528,24945684
2023/10/6,530,533,529,532,532,15336587
2023/10/11,542,544,540,544,544,46639969
2023/10/12,545,550,544,550,550,34161176
2023/10/13,550,554,548,553,553,31123496
2023/10/16,546,547,542,545,545,20222773
